source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,dedupe_key
PubMed,34982621,"The ACA Medicaid Expansion And Perinatal Insurance, Health Care Use, And Health Outcomes: A Systematic Review.","The Affordable Care Act (ACA) Medicaid expansion increased Medicaid eligibility for low-income adults regardless of their pregnancy or parental status. Variation in states' adoption of this expansion created a natural experiment to study the effects of expanding public insurance on insurance coverage, health care use, and health outcomes during preconception, pregnancy, and postpartum. We conducted a systematic review of relevant literature on this topic, analyzing twenty-four studies published between January 2014 and April 2021. We found that the ACA Medicaid expansion increased preconception and postpartum Medicaid coverage with corresponding declines in uninsurance, private insurance coverage, and insurance churn. There was limited evidence that Medicaid expansion increased perinatal health care use or improved infant birth outcomes overall, although some studies reported reduced racial and ethnic disparities in rates of prenatal and postpartum visit attendance, maternal mortality, low birthweight, and preterm births. Stronger data collection on preconception and postpartum outcomes with sufficient sample sizes to stratify by race and ethnicity is needed to assess the full impact of the ACA and emerging Medicaid policy changes, such as the postpartum Medicaid extension.",Health affairs (Project Hope),2022,Journal Article; Systematic Review,Meghan Bellerose; Lauren Collin; Jamie R Daw,10.1377/hlthaff.2021.01150,"Adult; Female; Health Services Accessibility; Humans; Infant, Newborn; Insurance Coverage; Insurance, Health; Medicaid; Medically Uninsured; Patient Protection and Affordable Care Act; Pregnancy; United States",https://pubmed.ncbi.nlm.nih.gov/34982621/,,,,,doi:10 1377 hlthaff 2021 01150
PubMed,41833544,Extended Pregnancy Medicaid During COVID-19 and Enrollment and Health Care Use in the Postpartum Year.,"Policy Points The continuous coverage provision of the March 2020 Families First Coronavirus Response Act resulted in extended postpartum Medicaid for individuals with pregnancy Medicaid coverage, which increased postpartum Medicaid enrollment, improved continuity of coverage, and increased Medicaid-paid emergency department visits and mental and behavioral health diagnoses in the 3 to 12 months postpartum. These findings provide insight into the extent to which increased coverage translated into changes in postpartum Medicaid-paid care. Communication and outreach are likely needed to ensure that individuals are aware of and able to use their extended postpartum Medicaid coverage.; Before the COVID-19 pandemic, persons with pregnancy Medicaid coverage were typically disenrolled after 60 days postpartum, at which point they could retain Medicaid only if they qualified through another eligibility category (most commonly as a parent). The March 2020 Families First Coronavirus Response Act (FFCRA) extended postpartum Medicaid coverage by requiring states to pause disenrollment in exchange for enhanced federal funding.; This study examined 2019-2022 Medicaid claims data from 15 states to determine the association between extended postpartum Medicaid coverage and Medicaid-paid care. We employed a continuous difference-in-difference design, leveraging variations in FFCRA-associated eligibility changes (state-level differences in pre-FFCRA pregnancy and parental Medicaid eligibility as a percentage of the federal poverty level [FPL]). The study population included individuals with a birth between January 2019 and December 2021 that was paid for by pregnancy Medicaid coverage. The study population was followed for 12 months after childbirth. Outcomes included Medicaid enrollment, continuity of coverage, outpatient and emergency department visits, and pregnancy-related and mental-health-related diagnoses. Care outcomes were measured from 3 to 12 months postpartum.; In adjusted models, we found that a 100 percentage-point FPL increase in postpartum Medicaid eligibility under the FFCRA was associated with 2.9 additional months of enrollment (95% CI: 0.9, 4.3), a 27.3 percentage-point increase in 12-month continuous Medicaid (95% CI: 2.3, 44.6), 107.2 more emergency department visits per 1,000 beneficiaries (95% CI: 18.7, 167.6), and a 3.2 percentage-point (95% CI: 1.7, 5.4) increase in services with mental and behavioral health diagnoses.; Continuous Medicaid coverage during the FFCRA was associated with longer postpartum enrollment and increases in some health care utilization. However, no increases in Medicaid-paid outpatient care or care for pregnancy-related conditions were found, which may have been due to enrollees' limited awareness of their continued eligibility. Improved communication around extended postpartum Medicaid coverage may improve the translation of coverage into health care access.",The Milbank quarterly,2026,Journal Article,Erica L Eliason; Maria W Steenland; Rebecca A Gourevitch,10.1111/1468-0009.70079,Humans; Medicaid; Female; United States; COVID-19; Pregnancy; Postpartum Period; Insurance Coverage; Adult; Pandemics; SARS-CoV-2; Patient Acceptance of Health Care; Eligibility Determination; Health Services Accessibility,https://pubmed.ncbi.nlm.nih.gov/41833544/,,,,,doi:10 1111 1468 0009 70079
PubMed,34982627,Extended Postpartum Medicaid Eligibility Is Associated With Improved Continuity Of Coverage In The Postpartum Year.,"The American Rescue Plan Act of 2021 enables states to lengthen eligibility for pregnancy-related Medicaid coverage from the current sixty days after birth to up to one year, a time when mothers remain at elevated pregnancy-related health risk. Using linked birth records, income, and all-payer claims data for Medicaid-paid births in Colorado during the period 2014-19, we compared continuity of coverage during one year postpartum among people eligible for low-income adult Medicaid (with incomes of 138 percent of the federal poverty level or lower) versus those ineligible for Medicaid by any pathway (with incomes of 139 percent of poverty or higher). We found that retention of Medicaid coverage as a low-income adult was associated with 1.5 additional months of postpartum insurance enrollment and a 12-percentage-point increase in the probability of continuous insurance coverage during the first year after birth. Our findings suggest that states that adopt the American Rescue Plan Act option to provide eligibility for pregnancy-related benefits for a full year after birth are likely to improve continuity of postpartum insurance coverage.",Health affairs (Project Hope),2022,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Sarah H Gordon; Alex Hoagland; Lindsay K Admon; Jamie R Daw,10.1377/hlthaff.2021.00730,"Adult; Eligibility Determination; Female; Health Services Accessibility; Humans; Insurance Coverage; Insurance, Health; Medicaid; Patient Protection and Affordable Care Act; Postpartum Period; Pregnancy; United States",https://pubmed.ncbi.nlm.nih.gov/34982627/,,,,,doi:10 1377 hlthaff 2021 00730
PubMed,33647969,Extending Postpartum Medicaid: State and Federal Policy Options during and after COVID-19.,"The United States is facing a maternal health crisis with rising rates of maternal mortality and morbidity and stark disparities in maternal outcomes by race and socioeconomic status. Among the efforts to address this issue, one policy proposal is gaining particular traction: extending the period of Medicaid eligibility for pregnant women beyond 60 days after childbirth. The authors examine the legislative and regulatory pathways most readily available for extending postpartum Medicaid, including their relative political, economic, and public health trade-offs. They also review the state and federal policy activity to date and discuss the impact of the COVID-19 pandemic on the prospects for policy change.","Journal of health politics, policy and law",2021,Journal Article,Jamie R Daw; Emily Eckert; Heidi L Allen; Kristen Underhill,10.1215/03616878-8893585,COVID-19; Female; Humans; Insurance Coverage; Maternal Health; Medicaid; Policy; Postpartum Period; Pregnancy; United States,https://pubmed.ncbi.nlm.nih.gov/33647969/,,,,,doi:10 1215 03616878 8893585
PubMed,37406233,Late Postpartum Coverage Loss Before COVID-19: Implications For Medicaid Unwinding.,"Using unique Pregnancy Risk Assessment Monitoring System follow-up data from before the COVID-19 pandemic, we found that only 68 percent of prenatal Medicaid enrollees maintained continuous Medicaid coverage through nine or ten months postpartum. Of the prenatal Medicaid enrollees who lost coverage in the early postpartum period, two-thirds remained uninsured nine to ten months postpartum. State postpartum Medicaid extensions could prevent a return to prepandemic rates of postpartum coverage loss.",Health affairs (Project Hope),2023,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Research Support, N.I.H., Extramural",Erica Eliason; Lindsay K Admon; Maria W Steenland; Jamie R Daw,10.1377/hlthaff.2022.01659,Pregnancy; Female; United States; Humans; Medicaid; Pandemics; COVID-19; Postpartum Period; Medically Uninsured; Insurance Coverage,https://pubmed.ncbi.nlm.nih.gov/37406233/,,,,,doi:10 1377 hlthaff 2022 01659
PubMed,28806008,South Dakota Medicaid Implements Coverage for Immediate Postpartum Long-Acting Reversible Contraception.,,South Dakota medicine : the journal of the South Dakota State Medical Association,2016,Editorial,Kelly Landeen; Ashley Briggs,,Contraception; Female; Humans; Insurance Benefits; Medicaid; Postpartum Period; South Dakota; United States,https://pubmed.ncbi.nlm.nih.gov/28806008/,,,,,pmid:28806008
PubMed,36040353,Racial/Ethnic Disparities in Postpartum Health Insurance Coverage Among Rural and Urban U.S. Residents.,"Objective: Half of maternal deaths occur during the postpartum year, with data suggesting greater risks among Black, Indigenous, and people of color (BIPOC) and rural residents. Being insured after childbirth improves postpartum health-related outcomes, and recent policy efforts focus on extending postpartum Medicaid coverage from 60 days to 1 year postpartum. The purpose of this study is to describe postpartum health insurance coverage for rural and urban U.S. residents who are BIPOC compared to those who are white. Materials and Methods: Using data from the 2016-2019 Pregnancy Risk Assessment Monitoring System (n = 150,273), we describe health insurance coverage categorized as Medicaid, commercial, or uninsured at the time of childbirth and postpartum. We measured continuity of insurance coverage across these periods, focusing on postpartum Medicaid disruptions. Analyses were conducted among white and BIPOC residents from rural and urban U.S. counties. Results: Three-quarters (75.3%) of rural white people and 85.3% of urban white people were continuously insured from childbirth to postpartum, compared to 60.5% of rural BIPOC people and 65.6% of urban BIPOC people. Postpartum insurance disruptions were frequent among people with Medicaid coverage at childbirth, particularly among BIPOC individuals, compared to those with private insurance; 17.0% of rural BIPOC residents had Medicaid at birth and became uninsured postpartum compared with 3.4% of urban white people. Conclusions: Health insurance coverage at childbirth, postpartum, and across these timepoints varies by race/ethnicity and rural compared with urban residents. Policy efforts to extend postpartum Medicaid coverage may reduce inequities at the intersection of racial/ethnic identity and rural geography.",Journal of women's health (2002),2022,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Research Support, N.I.H., Extramural",Katy B Kozhimannil; Julia D Interrante; Bridget Basile Ibrahim; Phoebe Chastain; Maya J Millette; Jamie Daw; Lindsay K Admon,10.1089/jwh.2022.0169,"Infant, Newborn; Pregnancy; Female; United States; Humans; Ethnicity; Insurance, Health; Insurance Coverage; Medically Uninsured; Medicaid; Postpartum Period",https://pubmed.ncbi.nlm.nih.gov/36040353/,,,,,doi:10 1089 jwh 2022 0169
PubMed,39570144,Postpartum Access to Health Care and Opioid Use Treatment: An Evaluation of a Medicaid Population.,"In this study, we aimed to examine postpartum health care utilization and identify gaps in care among a postpartum Medicaid population of patients diagnosed with opioid use disorder (OUD) during pregnancy.; We queried North Carolina Medicaid medical and pharmacy claims to identify individuals with a live delivery and evidence of OUD during pregnancy from 2015 to 2019. We examined any evidence of postpartum health care utilization and evidence of medications for OUD (MOUD) during postpartum. We also determined the impact that 4 factors may have had on these outcomes: type of Medicaid coverage (Medicaid for Pregnant Women as compared to other types of Medicaid coverage), rurality, race, and the prenatal use of MOUD. Descriptive statistics, Kaplan-Meier curves with log-rank tests, and negative binomial regression were used.; Of the 6,186 individuals in the study, 84.5% were White, 29.6% lived in rural areas, and 35.0% had MPW coverage. Of the sample, 77.4% sought health care services during the postpartum period. In the multiple negative binomial regression model, individuals who were MPW beneficiaries, non-White, lived in rural areas, and had no evidence of prenatal MOUD all had significantly lower rates of postpartum health care utilization. Of the sample, 53.6% had evidence of MOUD utilization during the postpartum period. We found that patients with MPW continued MOUD at much lower rates compared to patients with other forms of Medicaid (86% versus 93% at 60 days; 57% versus 78% at 180 days, respectively).; Limitations to this analysis are inherent to administrative claims data, such as misclassification of outcomes and covariates, as well as loss to follow-up.; Significant gaps in health care use remain across type of Medicaid coverage, race, geographic setting, and prenatal care access.",North Carolina medical journal,2024,Journal Article,Casey Tak; Bayla Ostrach; Melinda Ramage,10.18043/001c.125106,Humans; Medicaid; Female; United States; North Carolina; Pregnancy; Adult; Health Services Accessibility; Opioid-Related Disorders; Postpartum Period; Patient Acceptance of Health Care; Pregnancy Complications; Young Adult,https://pubmed.ncbi.nlm.nih.gov/39570144/,,,,,doi:10 18043 001c 125106
PubMed,37424702,Interventions to Support Engagement in Addiction Care Postpartum: Principles and Pitfalls.,"There is a fundamental disconnect between the optimal management of addiction in general and care delivery in pregnancy and postpartum. Addiction is a chronic condition requiring some degree of management across the life course. Yet, in the US, reproductive care is episodic and centers more on pregnancy than at other stages of the reproductive life course. Pregnancy is prioritized in access to insurance as almost all pregnant people are Medicaid eligible but access ends at varying points postpartum. This results in a structural mismatch: the episodic management of the chronic condition of addiction only within gestational periods. Though people with substance use disorder (SUD) may access care in pregnancy, treatment attrition is common postpartum. Postpartum is a time of increased vulnerabilities where insurance churn and newborn caretaking responsibilities collide in a context of care withdrawal from the health system and health providers. In part in consequence, return to use, SUD recurrence, overdose, and overdose death are more common postpartum than in pregnancy, and drug deaths have become a leading cause of maternal deaths in the US. This review addresses interventions to support engagement in addiction care postpartum. We begin with a scoping review of model programs and evidence-informed interventions that have been shown to increase continuation of care postpartum. We then explore the realities of contemporary care through a review of clinical and ethical principles, with particular attention to harm reduction. We conclude with suggestions of strategies (clinical, research, and policy) to improve care postpartum and highlight potential pitfalls in the uptake of evidence-based and person-centered services.",Substance abuse and rehabilitation,2023,Journal Article; Review,Shayna Mazel; Karen Alexander; Camille Cioffi; Mishka Terplan,10.2147/SAR.S375652,,https://pubmed.ncbi.nlm.nih.gov/37424702/,,,,,doi:10 2147 sar s375652
PubMed,38568923,Not all Medicaid for pregnancy care is delivered equally.,"Pregnant beneficiaries in the two primary Medicaid eligibility categories, traditional Medicaid and pregnancy Medicaid, have differing access to care especially in the preconception and postpartum periods. Pregnancy Medicaid has higher income limits for eligibility than traditional Medicaid but only provides coverage during and for a limited time period after pregnancy. Our objective was to determine the association between type of Medicaid (traditional Medicaid and pregnancy Medicaid) on receipt of outpatient care during the perinatal period.; This retrospective cohort study compared outpatient visits using linked birth certificate and Medicaid claims from all Medicaid births in Oregon and South Carolina from 2014 through 2019. Pregnancy Medicaid ended 60 days postpartum during the study. Our primary outcome was average number of outpatient visits per 100 beneficiaries each month during three perinatal time points: preconceputally (three months prior to conception), prenatally (9 months prior to birthdate) and postpartum (from birth to 12 months).; Among 105,808 Medicaid-covered births in Oregon and 141,385 births in South Carolina, pregnancy Medicaid was the most prevelant categorical eligibility. Traditional Medicaid recipients had a higher average number of preconception, prenatal and postpartum visits as compared to those in pregnancy Medicaid.; In South Carolina, those using traditional Medicaid had 450% more preconception visits and 70% more postpartum visits compared with pregnancy Medicaid. In Oregon, those using traditional Medicaid had 200% more preconception visits and 29% more postpartum visits than individuals using pregnancy Medicaid. Lack of coverage in both the preconception and postpartum period deprive women of adequate opportunities to access health care or contraception. Changes to pregnancy Medicaid, including extended postpartum coverage through the American Rescue Plan Act of 2021, may facilitate better continuity of care.",PloS one,2024,Journal Article,Jonas J Swartz; Menolly Kaufman; Maria I Rodriguez,10.1371/journal.pone.0299818,Pregnancy; United States; Female; Humans; Medicaid; Retrospective Studies; Prenatal Care; Postpartum Period; Contraception,https://pubmed.ncbi.nlm.nih.gov/38568923/,,,,,doi:10 1371 journal pone 0299818
PubMed,35977176,Factors Associated With Postpartum Uninsurance Among Medicaid-Paid Births.,"To reduce postpartum uninsurance and improve postpartum health, the American Rescue Plan included an option for states to extend pregnancy-related Medicaid from 60 days to 1 year after childbirth. Recent estimates of postpartum uninsurance among Medicaid-paid births would provide information on who would benefit from state adoption of this extension.; To estimate rates of postpartum uninsurance among individuals with Medicaid-paid births.; This cross-sectional study used survey data from the 2015 to 2018 Pregnancy Risk Assessment Monitoring System (PRAMS), a representative sample of births in 43 states and New York City, New York, and included PRAMS participants for whom Medicaid was the primary payer for childbirth. The mean weighted PRAMS response rate was 60.9% for the sites and years included in this study. The data were analyzed from December 2020 to January 2021.; Self-reported postpartum uninsurance measured at the time of the PRAMS survey (mean [interquartile range], 4.2 (3.0-5.0) months after birth).; Survey-weighted rates of postpartum uninsurance and 95% CIs overall, by state, by state Medicaid expansion status, and by maternal sociodemographic characteristics. Adjusted odds ratios of the association between maternal characteristics and postpartum uninsurance.; We identified 63 370 respondents with a Medicaid-paid birth. Of these, 22 016 (41.1%) were non-Hispanic White individuals, 17 442 (22.0%) non-Hispanic Black individuals, 6808 (13.3%) Spanish-speaking Hispanic individuals, 7000 (13.7%) English-speaking Hispanic individuals, 2410 (4.0%) Asian/Pacific Islander individuals, and 3894 (1.3%) Indigenous individuals. Of these, 41.7% were no longer insured by Medicaid postpartum and 22.0% were uninsured postpartum. The postpartum uninsurance rate was 3 times higher in Medicaid nonexpansion states (36.8%) compared with expansion states (12.8%). Postpartum uninsurance varied significantly across states, ranging from 1.7% in Massachusetts to 56.7% in Texas. There were substantial racial and ethnic disparities in postpartum uninsurance: 54.9% of Hispanic, Spanish-speaking individuals (adjusted odds ratio [aOR], 6.2; 95% CI, 5.5-7.0) and 42.8% of Indigenous respondents reported postpartum uninsurance (aOR, 4.3; 95% CI, 3.8-4.9) compared with 15.2% of non-Hispanic White respondents. The odds of postpartum uninsurance was higher among unmarried people (aOR, 1.3 compared with married people; 95% CI, 1.2-1.4), those 35 years and older (aOR, 1.5 compared with those younger than 20 years; 95% CI, 1.2-1.9) and those with lower levels of education (aOR, 0.8 for more than high school compared with less than high school; 95% CI, 0.7-0.9).; In this cross-sectional survey study of 43 states, a high proportion of people with Medicaid-paid births were uninsured in the postpartum period, particularly those living in Medicaid nonexpansion states. The study findings suggest that state extensions of pregnancy-related Medicaid eligibility through the first year postpartum could disproportionately benefit Hispanic and Indigenous people, unmarried people, those with lower education levels, and those living in Medicaid nonexpansion states.",JAMA health forum,2021,"Journal Article; Research Support, U.S. Gov't, P.H.S.",Jamie R Daw; Katy B Kozhimannil; Lindsay K Admon,10.1001/jamahealthforum.2021.1054,Cross-Sectional Studies; Female; Humans; Medicaid; Medically Uninsured; New York City; Postpartum Period; Pregnancy,https://pubmed.ncbi.nlm.nih.gov/35977176/,,,,,doi:10 1001 jamahealthforum 2021 1054
PubMed,37931190,The Health And Social Needs Of Medicaid Beneficiaries In The Postpartum Year: Evidence From A Multistate Survey.,"As of September 2023, thirty-seven states and Washington, D.C., had adopted the option in the American Rescue Plan Act of 2021 to extend pregnancy Medicaid eligibility to one year postpartum. To inform state initiatives to support this newly covered population, we conducted a representative survey of postpartum people in six states and New York City from January 2021 to March 2022. Compared with respondents who had commercial insurance at the time of childbirth, Medicaid respondents were less likely to have a usual source of care and reported less use of primary, specialty, and dental care in the postpartum year. Depression symptoms and social concerns such as food insecurity, intimate partner violence, and financial strain were significantly higher in the Medicaid population. Rates of anxiety symptoms, delaying or not getting needed care, and unsatisfactory child care were similar in both populations. Our findings suggest that postpartum Medicaid extensions should be coupled with state initiatives to address beneficiaries' health and social needs. National investments in data collection on postpartum people will be critical to support evidence-based policy making to improve maternal health and well-being.",Health affairs (Project Hope),2023,"Journal Article; Research Support, Non-U.S. Gov't",Jamie R Daw; Kristen Underhill; Chen Liu; Heidi L Allen,10.1377/hlthaff.2023.00541,Pregnancy; Female; United States; Humans; Medicaid; Postpartum Period; Surveys and Questionnaires; Eligibility Determination; Washington,https://pubmed.ncbi.nlm.nih.gov/37931190/,,,,,doi:10 1377 hlthaff 2023 00541
PubMed,35272884,Concordance of Desired and Administered Postpartum Contraceptives among Emergency and Full Scope Medicaid Patients.,"To determine if concordance of contraceptive preference and uptake differ between postpartum recipients of emergency versus full scope Medicaid.; We performed a historical cohort study of patients who delivered at a safety-net hospital in Denver, Colorado in 2016. In our public system, all patients had access to immediate postpartum tubal ligation and all forms of reversible contraception in outpatient clinics. We used data from electronic health records to compare contraceptive preferences and uptake between patients with full scope and emergency Medicaid at hospital discharge and by 12 weeks postpartum. We then compared contraceptive concordance (use of the same method as desired during delivery admission) between the groups at time of postpartum discharge and by 12 weeks postpartum.; We examined 693 women; 349 (50.1%) had emergency Medicaid and 344 (49.9%) had full scope Medicaid. The mean age at delivery was 27.9 years, and most patients were Hispanic (74%). Women with emergency Medicaid were less likely to receive their desired method of postpartum contraception before hospital discharge (53.6% vs. 66.9%; p < .01). One-half of the patients with emergency Medicaid who did not receive their desired method of immediate postpartum contraception were unable to obtain it based on insurance ineligibility. By 12 weeks postpartum, the rates of concordance did not differ by insurance status: 52.4% of patients with emergency Medicaid and 55.2% of patients with full scope Medicaid received their desired method of contraception (p = .46).; Emergency Medicaid recipients, largely recent and/or unauthorized immigrants, have high demand for highly effective postpartum contraceptives. Although emergency Medicaid recipients initially had lower rates of receipt of their desired contraceptive during the hospital stay compared with those with full scope Medicaid, they ultimately had similar concordance rates by 12 weeks postpartum. We suspect this finding was in part due to free access to all methods of contraception in our outpatient clinics during the postpartum course. Systemic barriers should be reduced to ensure better access to postpartum contraceptives for all patients, regardless of insurance coverage, to improve reproductive equity.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2022,Journal Article,Carrie H Wilson; Aaron Lazorwitz; Jennifer Hyer; Maryam Guiahi,10.1016/j.whi.2022.01.008,Cohort Studies; Contraception; Contraceptive Agents; Female; Humans; Medicaid; Postpartum Period; United States,https://pubmed.ncbi.nlm.nih.gov/35272884/,,,,,doi:10 1016 j whi 2022 01 008
PubMed,37917931,"Association Between State Paid Family and Medical Leave and Breastfeeding, Depression, and Postpartum Visits.","To evaluate the association of state paid family and medical leave policies with the likelihood of breastfeeding, postpartum depression symptoms, and attendance of the postpartum visit.; This was a cross-sectional study that used 2016-2019 data from PRAMS (Pregnancy Risk Assessment Monitoring System) for 43 states and Washington, DC. We describe the association of state paid family and medical leave generosity with rates of breastfeeding, postpartum depression symptoms, and attendance of the postpartum visit. Logistic and Poisson regression models tested the significance of state paid family and medical leave coverage generosity after controlling for individual respondent sociodemographic characteristics, with sensitivity analyses for respondents with deliveries covered by Medicaid insurance.; Of the 143,131 respondents, representative of an estimated 7,426,725 population, 26.2% lived in eight states and DC with the most generous paid family and medical leave, 20.5% lived in nine states with some paid family and medical leave, and 53.3% lived in 26 states with little or no paid family and medical leave. Overall, 54.8% reported breastfeeding at 6 months or at time of the survey, ranging from 59.5% in the most generous paid family and medical leave states to 51.0% in states with the least paid family and medical leave coverage. Postpartum depression symptoms varied from 11.7% in the most generous states to 13.3% in the least generous states (both P <.001). State differences in postpartum visit attendance rates (90.9% overall) did not differ significantly. After adjusting for respondent characteristics, compared with states with the least paid family and medical leave, breastfeeding was 9% more likely (adjusted incidence rate ratio [aIRR] 1.09, 95% CI, 1.07-1.11) in states with the strongest paid family and medical leave coverage and 32% more likely (aIRR 1.32, 95% CI, 1.25-1.39) in analyses limited to respondents with deliveries covered by Medicaid insurance. A more generous state paid family and medical leave policy was significantly associated with a lower likelihood of postpartum depression symptoms compared with states with the least paid family and medical leave (adjusted odds ratio 0.85, 95% CI, 0.76-0.94) and a modest but significant increase in postpartum visit attendance (aIRR 1.03, 95% CI, 1.01-1.04) among respondents with deliveries covered by Medicaid insurance.; Respondents from states with strong paid family and medical leave had a greater likelihood of breastfeeding and had lower odds of postpartum depression symptoms, with stronger associations among respondents with deliveries covered by Medicaid insurance. Despite major potential health benefits of paid family and medical leave, the United States remains one of the few countries without federally mandated paid parental leave.",Obstetrics and gynecology,2024,Journal Article,Madeline F Perry; Lilian Bui; Lynn M Yee; Joe Feinglass,10.1097/AOG.0000000000005428,"Pregnancy; Female; United States; Humans; Breast Feeding; Depression, Postpartum; Cross-Sectional Studies; Depression; Postpartum Period; Medicaid",https://pubmed.ncbi.nlm.nih.gov/37917931/,,,,,doi:10 1097 aog 0000000000005428
PubMed,37594892,Maternal Mortality Crisis and Extension of Medicaid Postpartum Coverage.,,JAMA,2023,Journal Article,Eli Y Adashi; Daniel P O'Mahony; I Glenn Cohen,10.1001/jama.2023.15380,Female; Humans; Maternal Mortality; Medicaid; United States; Postpartum Period; Postnatal Care; Insurance Coverage,https://pubmed.ncbi.nlm.nih.gov/37594892/,,,,,doi:10 1001 jama 2023 15380
PubMed,35977711,Severe Maternal Morbidity among Low-Income Patients with Hypertensive Disorders of Pregnancy.,"Hypertensive disorders of pregnancy (HDP) contribute significantly to the development of severe maternal morbidities (SMM), particularly among low-income women. The purpose of the study was to explore the relationship between maternal characteristics and SMM, and to investigate if differences in SMM exist among patients with HDP diagnosis.; This study utilized 2017 Alabama Medicaid administrative claims. SMM diagnoses were captured using the Centers for Disease Control and Prevention's classification by International Classification of Diseases codes. Maternal characteristics and frequencies were compared using Chi-square and Cramer's V statistics. Logistic regression analyses were conducted to examine multivariable relationships between maternal characteristics and SMM among patients with HDP diagnosis. Odds ratios and 95% confidence intervals (CIs) were used to estimate risk.; A higher proportion of patients experiencing SMM were >34 years old, Black, Medicaid for Low-Income Families eligible, lived in a county with greater Medicaid enrollment, and entered prenatal care (PNC) in the first trimester compared with those without SMM. Almost half of patients (46.2%) with SMM had a HDP diagnosis. After controlling for maternal characteristics, HDP, maternal age, county Medicaid enrollment, and trimester PNC entry were not associated with SMM risk. However, Black patients with HDP were at increased risk for SMM compared with White patients with HDP when other factors were taken into account (adjusted odds ratio [aOR] = 1.37, 95% CI: 1.11-1.69). Patients with HDP and SMM were more likely to have a prenatal hospitalization (aOR = 1.45, 95% CI: 1.20-1.76), emergency visit (aOR = 1.30, 95% CI: 1.07-1.57), and postpartum cardiovascular prescription (aOR = 2.43, 95% CI: 1.95-3.04).; Rates of SMM differed by age, race, Medicaid income eligibility, and county Medicaid enrollment but were highest among patients with clinical comorbidities, especially HDP. However, among patients with HDP, Black patients had an elevated risk of severe morbidity even after controlling for other characteristics.; · Patients with SMM were more likely to have a HDP diagnosis.. · Among those with HDP, Black patients had elevated risk of SMM.. · Differences in care delivery did not explain SMM disparities..",American journal of perinatology,2024,"Journal Article; Research Support, N.I.H., Extramural",Matthew D Moore; Sara E Mazzoni; Martha S Wingate; Janet M Bronstein,10.1055/a-1925-9972,"Humans; Female; Pregnancy; Adult; Medicaid; Poverty; United States; Hypertension, Pregnancy-Induced; Alabama; Young Adult; Logistic Models; Prenatal Care; Black or African American; Retrospective Studies; Risk Factors; Maternal Age; Odds Ratio",https://pubmed.ncbi.nlm.nih.gov/35977711/,,,,,doi:10 1055 a 1925 9972
PubMed,34517144,Timing of perinatal mental health needs: data to inform policy.,"The policies pertaining to perinatal healthcare should be informed by medical needs. The windows of standard obstetrical care and mandated Medicaid coverage eligibility typically end approximately 8 weeks postpartum, even though women may have perinatal health concerns, including suicidal ideation, which are identified beyond this period.; To evaluate the timing of mental health needs across the perinatal period with a focus on how frequently the initial referral and suicidal ideation occur outside of standard obstetrical care windows.; This retrospective cohort study included all women during pregnancy or up to one year postpartum referred to a perinatal mental health collaborative care program (COMPASS) between September 2017 and September 2019. The timing of initial referral to COMPASS was identified, with women referred postpartum categorized by whether the referral was made after 8 weeks postpartum. The characteristics of the women were compared according to the timing of the initial mental health referral with receiver operating characteristic curves to identify whether patient characteristics could accurately classify women whose initial mental health needs were not recognized until after 8 weeks postpartum. Similarly, the assessment of suicidal ideation, either at or after referral, was ascertained, with the evaluation of the timing at which suicidal ideation was first expressed.; Of 1421 women referred for mental healthcare during the study period, 774 (54%) were initially referred antenatally and 647 (46%) were initially referred postpartum. The women who were referred antenatally exhibited no clustering in the timing of referral. Of the women referred postpartum, 203 (31%) were referred after 8 weeks postpartum. Sociodemographic and medical characteristics were unable to accurately classify which women were referred for mental health care after 8 weeks postpartum (area under the curve, 0.64; 95% confidence interval, 0.58-0.68). A total of 215 (16%) women reported suicidal ideation at or after the time of initial referral: 129 (17%) antenatally and 86 (14%) postpartum. The incidence of suicidal ideation was not significantly different before vs 8 weeks postpartum.; Perinatal mental health needs, including suicidal ideation, are often first recognized beyond 8 weeks postpartum. These data should be taken into consideration in policymaking discussions pertaining to the approach to medical care continuity and postpartum healthcare coverage.",American journal of obstetrics & gynecology MFM,2022,"Journal Article; Research Support, Non-U.S. Gov't",Allie Sakowicz; Emma C Allen; Aishwarya Nugooru; William A Grobman; Emily S Miller,10.1016/j.ajogmf.2021.100482,Female; Humans; Pregnancy; Mental Health; Policy; Postpartum Period; Retrospective Studies; Suicidal Ideation; United States,https://pubmed.ncbi.nlm.nih.gov/34517144/,,,,,doi:10 1016 j ajogmf 2021 100482
